output,source_idx,source_file,steps,duration_sec,xyz_min_mm,xyz_max_mm,speed_mean_mm_s,speed_max_mm_s,xyz_err_mean_mm,xyz_err_p95_mm,xyz_err_max_mm
card_pos_034.npy,34,episode_38.hdf5,404,20.2,"[175.908, -5.327, 165.467]","[391.488, 30.791, 229.293]",16.588040672669102,47.495165801750275,0.17312430053611855,0.463925657226399,0.5236039156849226
card_pos_035.npy,35,episode_39.hdf5,363,18.15,"[174.651, -5.172, 166.322]","[394.139, 34.921, 229.09]",19.87461124779333,52.3409638515982,0.10978960232987928,0.2123569577251702,0.26601612375957356
card_pos_036.npy,36,episode_40.hdf5,399,19.95,"[174.984, -5.786, 165.79]","[390.624, 30.711, 228.981]",17.547586761089743,48.74583334389771,0.09065802726475404,0.1982639752919677,0.23549130651799993
card_pos_037.npy,37,episode_41.hdf5,389,19.45,"[175.189, -5.356, 165.078]","[390.408, 26.567, 229.279]",18.611682168634985,57.59712394733996,0.1526552907321431,0.36088920980654254,0.46890848771269245
card_pos_038.npy,38,episode_42.hdf5,357,17.85,"[175.333, -5.145, 164.37]","[390.289, 31.844, 229.605]",19.784917017190477,46.433375223494444,0.1183877050732219,0.20173958766258138,0.22940771089363757
card_pos_039.npy,39,episode_43.hdf5,408,20.4,"[174.68, -5.136, 166.062]","[395.975, 29.39, 229.081]",16.676573985673684,56.71761890806688,0.09828897476218225,0.23299390921197474,0.27925204186675795
card_pos_040.npy,40,episode_44.hdf5,344,17.2,"[174.602, -5.489, 165.822]","[395.786, 34.842, 229.176]",20.403732018407094,46.86519947710397,0.08396272823700462,0.16882316546474724,0.1940831001284882
card_pos_041.npy,41,episode_45.hdf5,376,18.8,"[176.069, -5.196, 165.154]","[393.13, 30.362, 229.286]",18.47906948302857,53.91192520739698,0.09970776747056719,0.2534534938363718,0.30208380732311785
card_pos_042.npy,42,episode_46.hdf5,401,20.05,"[174.2, -5.271, 165.325]","[396.121, 28.609, 230.234]",17.881823943974005,48.70736220031743,0.12287412192624604,0.34943286123427963,0.4107527167347041
card_pos_043.npy,43,episode_47.hdf5,415,20.75,"[176.204, -5.21, 166.5]","[395.297, 28.492, 229.189]",16.90675913835934,67.87654503107146,0.14705801772504296,0.34183279598512517,0.44277221843715003
card_pos_044.npy,44,episode_49.hdf5,407,20.35,"[175.952, -5.239, 166.355]","[392.534, 31.941, 229.132]",17.295830497316285,44.36083203059507,0.13446498519454494,0.30877617785552486,0.3828889907455699
card_pos_045.npy,45,episode_50.hdf5,402,20.1,"[182.299, -5.214, 166.056]","[393.734, 29.76, 229.082]",16.997712326028438,76.33671013258409,0.12903645408996875,0.2747590943622735,0.35261362562791243
card_pos_046.npy,46,episode_51.hdf5,389,19.45,"[176.276, -5.137, 165.627]","[393.954, 29.915, 228.964]",17.401889633668393,48.74059240575734,0.13644628031538505,0.28466898045732997,0.3386128461542962
card_pos_047.npy,47,episode_52.hdf5,378,18.9,"[175.438, -5.224, 165.172]","[390.488, 32.741, 229.329]",19.861083463627082,84.81537348497291,0.09812665872271764,0.20860190489568212,0.25973408377773255
card_pos_048.npy,48,episode_53.hdf5,398,19.9,"[185.02, -5.117, 165.991]","[392.859, 31.757, 229.001]",16.028177281580504,40.96104691938357,0.13489603746373868,0.31970099326483153,0.38839399073114483
card_pos_049.npy,49,episode_54.hdf5,389,19.45,"[181.339, -5.278, 165.612]","[393.311, 34.672, 229.06]",17.55445687009017,53.78368167940458,0.11490528457654317,0.19373632714997915,0.20923996865253855
card_pos_050.npy,0,episode_0.hdf5,479,23.95,"[198.65, -5.377, 168.0]","[390.322, 32.154, 229.236]",12.525961523121433,33.372407212401896,0.11015684781089656,0.2798927677051481,0.3593205475786532
card_pos_051.npy,1,episode_1.hdf5,484,24.2,"[191.103, -5.194, 167.952]","[395.342, 35.55, 240.221]",15.00171318739528,50.645102820859016,0.1686016793465598,0.4503467508507331,0.5513293561765591
card_pos_052.npy,2,episode_3.hdf5,486,24.3,"[195.52, -5.134, 165.686]","[390.299, 34.469, 230.509]",14.68501496106673,56.502163882731175,0.14127794344359693,0.2854274236625398,0.42431502858211745
card_pos_053.npy,3,episode_4.hdf5,483,24.15,"[201.515, -5.092, 165.613]","[390.409, 33.195, 229.108]",14.08833660772045,52.69156984325167,0.14509437913664297,0.32672889816837347,0.40189547365545075
card_pos_054.npy,4,episode_6.hdf5,432,21.6,"[199.155, -5.151, 165.93]","[390.763, 32.56, 229.138]",14.889440394547906,48.679175713081655,0.12019142299013881,0.28676409903731637,0.3635768731204194
card_pos_055.npy,5,episode_7.hdf5,424,21.2,"[200.129, -5.234, 165.515]","[391.743, 33.409, 229.07]",14.789481197624802,45.004144032624836,0.16203764195187922,0.44355757934897694,0.6092786683053962
card_pos_056.npy,6,episode_8.hdf5,474,23.7,"[185.452, -5.015, 165.739]","[390.539, 35.206, 228.986]",14.069497185894075,43.66595336850949,0.09911626107604786,0.21189809029001772,0.24468033101152803
card_pos_057.npy,7,episode_9.hdf5,441,22.05,"[189.767, -5.177, 165.648]","[390.289, 31.041, 229.214]",14.502943310905813,40.089210982661655,0.1331170743906953,0.3449086172642164,0.4559381780271489
card_pos_058.npy,8,episode_10.hdf5,458,22.9,"[188.158, -4.905, 165.602]","[390.032, 34.505, 229.013]",14.691227243228052,43.72640206687027,0.08625490603237324,0.16416640902004234,0.19883166664156032
card_pos_059.npy,9,episode_11.hdf5,569,28.45,"[181.658, -5.329, 165.569]","[391.242, 31.837, 229.009]",12.114660396429443,42.51178495622328,0.10066919719405992,0.25104122843995447,0.3103204553891831
card_pos_060.npy,10,episode_12.hdf5,431,21.55,"[195.246, -5.052, 165.054]","[390.855, 29.675, 229.041]",14.72041861705068,46.88192115024996,0.10095854828050115,0.24350981337994315,0.31174732209945183
card_pos_061.npy,11,episode_13.hdf5,426,21.3,"[202.673, -5.282, 165.608]","[391.462, 30.836, 228.823]",14.551088730008184,36.803170145892146,0.14377862606521977,0.35274491319322915,0.4032666973448593
card_pos_062.npy,12,episode_14.hdf5,470,23.5,"[181.436, -5.206, 164.789]","[390.33, 31.421, 229.269]",14.941009879024104,40.38431268246986,0.11744247767714222,0.29294986749189755,0.37189880982714413
card_pos_063.npy,13,episode_15.hdf5,502,25.1,"[193.479, -4.981, 164.844]","[391.437, 28.957, 229.016]",12.989812764806086,62.71343492397581,0.1738055378437946,0.34424841531918343,0.3846671296129476
card_pos_064.npy,14,episode_16.hdf5,467,23.35,"[195.919, -5.111, 165.247]","[391.984, 33.196, 229.177]",14.805576425832815,54.027121659260004,0.13203783413623935,0.23439113797909045,0.30877455312501867
card_pos_065.npy,15,episode_17.hdf5,434,21.7,"[206.137, -4.907, 164.336]","[391.356, 33.632, 228.953]",15.588073739843784,69.48289857210416,0.06349956870499548,0.16381467230227542,0.1945206254159287
